Feature ID	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
8ac6ca6f267d41e004bef84892def7b1	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Doassansiales;f__Doassansiaceae	-	-	-	-	-	-	-	Unassigned	-
1e5168d77b5ccf3386d58179caf8df14	k__Fungi;p__Ascomycota;c__Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
b0e28f6f7294771eddfaae6dab863f2a	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales;f__Phomatosporaceae;g__Phomatospora;s__Phomatospora_sp	-	-	-	-	-	-	-	Unassigned	-
6d410ff99814c63185fa6aca28fb27ad	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae	-	-	-	-	-	-	-	Unassigned	-
a347b21cd793c8e0a965520e2fbe0306	k__Fungi;p__Basidiomycota	-	-	-	-	-	-	-	Unassigned	-
b301cc074235bc98296958090519f423	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
e46e15f786547c965f5e10c57b1b77e2	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
9553d7d1e2c85f5bec57f733878a401b	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae	-	-	-	-	-	-	-	Unassigned	-
927990b3829d1844d2b716fafd91abe3	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	-	-	-	-	-	-	-	Unassigned	-
4eb0216b15a57ee32bc5a338f08102d2	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
9467a99887aff271c35ab77aca97596f	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Goffeauzyma;s__Goffeauzyma_sp	-	-	-	-	-	-	-	Unassigned	-
52a0a594a812e3a4e3489abfddfeb01b	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes	-	-	-	-	-	-	-	Unassigned	-
2c0287cd72a887d5534d3946cf498aff	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Tricellula;s__Tricellula_sp	-	-	-	-	-	-	-	Unassigned	-
2a611af3f450ec36cc6b1d9142550629	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
b12e943e341c3f25cf01be6f15bc66e2	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
e653e5e57d821c6c9e10041b1b680969	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
39774a493d9202c93168f6dcc9f57f18	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_occultus	-	-	-	-	-	-	-	Unassigned	-
6c9ca1c5038072f5510b9e2d8a747dff	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_phragmitis	-	-	-	-	-	-	-	Unassigned	-
eed902653c03e6162699a9c43020e567	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides	-	-	-	-	-	-	-	Unassigned	-
94910990658b72afb1be53520bdee67e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Striaticonidium;s__Striaticonidium_brachysporum	-	-	-	-	-	-	-	Unassigned	-
cb6f8257e5ed39efec667ba45a4eac99	k__Fungi;p__Ascomycota;c__Sordariomycetes	-	-	-	-	-	-	-	Unassigned	-
f6fbbe7298d42acca696e5496746b247	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Saitozyma;s__Saitozyma_flava	-	-	-	-	-	-	-	Unassigned	-
57cbea6e488369b699ffc15485d8038b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Parapyrenochaetaceae;g__Parapyrenochaeta;s__Parapyrenochaeta_sp	-	-	-	-	-	-	-	Unassigned	-
fe05645517509b16557e0ad7535ca82c	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
1a4e33dab75454be96df4015c7f6e7bf	k__Fungi;p__Ascomycota	-	-	-	-	-	-	-	Unassigned	-
41db4215ef7c7c3e224fbf21c5fe332e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae;g__Xenomyrothecium;s__Xenomyrothecium_tongaense	-	-	-	-	-	-	-	Unassigned	-
fd69b9899440af9bd31ea3e874cb620a	k__Fungi;p__Basidiomycota;c__Tremellomycetes	-	-	-	-	-	-	-	Unassigned	-
46568e2b8fc90dd75e0be2908bc587da	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
35a299c770a22314f25258879a8a7107	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	-	-	-	-	-	-	-	Unassigned	-
f99127f13fa79a7f87284552e9245514	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Stachybotryaceae	-	-	-	-	-	-	-	Unassigned	-
b901e75709b547fd00529b075c45dec3	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Amphisphaeriales;f__Pestalotiopsidaceae;g__Neopestalotiopsis;s__Neopestalotiopsis_musae	-	-	-	-	-	-	-	Unassigned	-
8765a7a19e99e1c54ae8d39839d0ba45	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
e70d9ad8efed5f7ee280468c8fa8fae9	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
03235a9ff4d226ab394529bb9c12fcfb	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Phomatosporales;f__Phomatosporaceae;g__Phomatospora	-	-	-	-	-	-	-	Unassigned	-
eb995597d569046fe5b691f650dbffb7	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Cordyceps	-	-	-	-	-	-	-	Unassigned	-
ea0789b27b6760c932d8744412fd5498	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Branch06;f__Branch06_fam_Incertae_sedis;g__Branch06_gen_Incertae_sedis;s__Branch06_sp	-	-	-	-	-	-	-	Unassigned	-
74dc62d5c84baabe43310c35489397fd	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	-	-	-	-	-	-	-	Unassigned	-
49534cd48168017f82866a80c6fc4ed6	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Debaryomycetaceae;g__Kurtzmaniella;s__Kurtzmaniella_quercitrusa	-	-	-	-	-	-	-	Unassigned	-
e6cf6d083a37a35ee17b88bada3b3dae	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
5a5b82a909bc6c2fa1d5bd7e91286f0c	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Rhynchogastremataceae;g__Papiliotrema;s__Papiliotrema_flavescens	-	-	-	-	-	-	-	Unassigned	-
