sample_id,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19
S1P3-5,AR,S1,S1P3,34.863,58.571,1.009730127,0,1,1,123,16,7.3,1.7901,5.3763,0.8935,8.0599,239.2727273,22.8781876,0.166192363,1,3.220879983,0.031,1.47,38.43,26.1714,34.7705146,7.25,9.81471536,0.32,3.36,10.425,19.418,1.213625,69.0393855,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-6,AR,S1,S1P3,34.863,58.571,5.481784133,0,1.333333333,2,55,11,4.25,1.3991,1.8358,0.0242,3.2591,142.3248408,29.9596906,0.013182264,2,5.714374941,NA,1.7,41.86,24.6419,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-7,AR,S1,S1P3,34.863,58.571,0.933184024,0,1,5,59,11,6.38,1.4416,2.1582,0.0913,3.6911,169.7239264,27.33759614,0.042303772,0,9.534396643,NA,2.38,41.45,17.4259,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-8,AR,S1,S1P3,34.863,58.571,10.26007216,0,2,3,48,8,4.42,1.2448,1.4585,0.0878,2.7911,219.7584541,32.91052451,0.060198834,9,8.322116354,NA,2.52,41.77,16.5892,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-9,AR,S1,S1P3,34.863,58.571,0.347615809,0,1,4,36,8,3.75,1.4023,1.5252,0.0881,3.0156,182.7364865,23.60346184,0.057762916,2,7.31369253,NA,1.6,40.28,25.1628,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S1P3-10,AR,S1,S1P3,34.863,58.571,0.770194404,0,1.666666667,0,111,7,5.75,1.3736,4.3675,5.7411,25.41499714,180.8944954,NA,1.314504865,0,7.350614709,NA,2,42.07,21.0515,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.97499996,11.33333321,45.51539513,485.6930259,28.89999962,4,24.89999962,22.51666641,11.00000008,22.96666654,11.00000008,1052,112,56,23.88274049,317,176,304,176
S2P1-1,AR,S2,S2P1,35.943,58.997,2.941176471,0,1.666666667,3,54,11,3,1.2618,1.4671,0.0295,2.7584,108.9545455,36.80730693,0.020107695,13,5.890252091,0.033,1.67,37.81,22.59,38.7897595,8.4,14.64443552,0.45,5.32,11.7819,48.545,9.709,25.64044167,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-2,AR,S2,S2P1,35.943,58.997,0.822078685,0,1,2,72,11,3.42,1.4961,2.0538,0.3518,3.9017,120.1081081,35.05696757,0.171292239,0,5.657323923,0.038,1.5,36.95,24.5619,32.44005642,8.75,19.61668546,0.66,8.05,12.246,20.631625,12.378975,10.27798368,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-3,AR,S2,S2P1,35.943,58.997,0.859089563,0,1,5,53,10,3.3,0.7685,1.6414,0.1602,2.5701,178.2083333,32.28950896,0.09759961,2,5.903901489,0.035,1.44,39.97,27.8214,38.32505323,7.71,6.487956488,0.25,2.65,10.7441,26.69975,12.13625,12.19829093,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-4,AR,S2,S2P1,35.943,58.997,0.700135253,0,1.333333333,6,89,15,3.67,1.3011,2.5014,0.4183,4.2208,336.5765766,35.58007516,0.167226353,4,7.150939764,0.032,1.57,40.78,25.9323,31.49606299,8.75,0.035258444,0.14,1.32,9.6455,20.631625,4.8545,31.01730197,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-5,AR,S2,S2P1,35.943,58.997,0.944901215,0,1.333333333,6,76,15,3.23,1.1535,1.7655,0.4269,3.3459,467.5,43.04729538,0.241801189,NA,5.288408716,0.032,0.92,38.03,41.5279,43.42581423,7.83,7.013620655,0.16,1.62,9.8278,29.127,14.5635,12.58235238,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-6,AR,S2,S2P1,35.943,58.997,0.735909015,0,1,1,35,7,3.52,1.1535,1.2802,0.0086,2.4423,233.5,27.33947821,0.0067177,0,7.051786105,NA,1.25,39.98,31.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-7,AR,S2,S2P1,35.943,58.997,0.780741705,0,1,1,52,11,2.68,1.1705,1.8246,0.0226,3.0177,291.4736842,28.49939713,0.012386276,0,5.776147875,NA,1.11,40.34,36.2653,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-8,AR,S2,S2P1,35.943,58.997,1.685224195,0,1.333333333,2,50,11,2.78,1.2343,1.6321,0.1021,2.9685,353.4482759,30.63537773,0.062557441,0,5.618861726,NA,0.98,40.77,41.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-9,AR,S2,S2P1,35.943,58.997,0.923670321,0,1.333333333,1,31,6,3.09,1.0701,1.2196,0.0063,2.296,299.4029851,25.41816989,0.005165628,2,7.695985676,NA,1.17,40.91,34.8377,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P1-10,AR,S2,S2P1,35.943,58.997,1.057372234,0,1,2,49,9,3.19,1.2042,1.6438,0.0222,2.8702,249.3396226,29.80897919,0.013505293,0,6.801296528,NA,1.23,40.28,32.6797,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-1,AR,S2,S2P2,35.943,58.997,0.68473051,0,1,3,63,14,3.4,1.165,1.7976,0.043,3.0056,221.4166667,35.04672897,0.023920783,5,3.972860809,0.032,1.53,42.63,27.9463,44.7284345,7.9,10.47454473,0.32,3.18,9.8306,32.767875,8.495375,12.19829093,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-2,AR,S2,S2P2,35.943,58.997,1.003064921,0,1,3,57,14,2.71,1.1319,1.5021,0.2916,2.9256,220.8130081,37.94687438,0.19412822,4,4.770027982,0.036,1.03,37.33,36.392,51.38339921,7.87,11.11767408,0.23,2.26,9.8402,24.2725,12.13625,10.66204513,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-3,AR,S2,S2P2,35.943,58.997,0.807668412,0,1,3,68,13,2.83,1.2073,1.892,0.1135,3.2128,114.7208122,35.94080338,0.059989429,10,5.245006043,0.037,1.19,37.92,31.8692,34.15783274,8.67,7.985744456,0.22,2.05,9.4362,15.777125,26.69975,13.35047528,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-4,AR,S2,S2P2,35.943,58.997,4.18514947,0,1.333333333,1,42,8,2.9,1.1477,1.3408,0.0107,2.4992,419.6491228,31.32458234,0.00798031,8,4.735695884,0.035,1.07,40.11,37.4454,37.25346969,8.23,11.97773456,0.22,2.24,10.0859,36.40875,20.631625,20.64764282,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-5,AR,S2,S2P2,35.943,58.997,6.923306476,0,1,0,41,11,3.16,1.1372,1.3967,0,2.5339,268.9090909,29.354908,0,5,4.624006717,0.031,0.93,40.46,43.4214,36.48269411,8.7,12.50250853,0.22,2.39,11.0284,26.69975,13.349875,10.66204513,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-6,AR,S2,S2P2,35.943,58.997,0.888720809,0,1,4,43,10,2.39,1.1441,1.3957,0.0207,2.5605,221.953125,30.80891309,0.014831267,7,5.888741227,NA,0.88,39.92,45.1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-7,AR,S2,S2P2,35.943,58.997,0.753475539,0,1,1,37,7,2.81,1.1461,1.3373,0.0128,2.4962,171.9892473,27.66768863,0.009571525,7,5.042657718,NA,1.06,39.34,37.2267,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-8,AR,S2,S2P2,35.943,58.997,0.305157156,0,1,0,67,13,3.91,1.2142,2.161,0,3.3752,169,31.00416474,0,12,4.944742034,NA,1.19,42.65,35.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-9,AR,S2,S2P2,35.943,58.997,0.722222222,0,1.333333333,5,54,10,2.82,1.2237,1.7479,0.0887,3.0603,253.4108527,30.89421592,0.05074661,7,4.74925878,NA,1.05,40.02,38.2073,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P2-10,AR,S2,S2P2,35.943,58.997,0.29343953,0,1,3,51,11,3.25,1.1262,1.8795,0.1467,3.1524,211.0714286,27.1348763,0.078052674,NA,4.772359581,NA,1.14,39.64,34.8035,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-1,AR,S2,S2P3,35.943,58.997,1.152855012,0,1.333333333,0,37,8,2.8,1.0208,1.2554,0,2.2762,595.3571429,29.47267803,0,2,9.07131689,0.035,0.86,40.95,47.5677,38.20816864,8.72,10.57969118,0.18,1.91,10.8678,14.5635,1.213625,6.821430629,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-2,AR,S2,S2P3,35.943,58.997,0.95890411,0,1.333333333,0,41,10,2.6,1.058,1.3647,0,2.4227,276.1038961,30.04323294,0,0,NA,0.034,0.99,38.69,39.1477,38.03803804,9.06,12.69884994,0.18,1.83,10.1988,20.631625,4.8545,9.893922228,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-3,AR,S2,S2P3,35.943,58.997,12.70821929,0,1,2,60,11,3.65,1.2231,1.622,0.0114,2.8565,470,36.99136868,0.00702836,2,5.85973265,0.038,1.24,40.02,32.3723,44.49938195,8.9,13.04660906,0.33,3.49,10.7136,26.69975,7.28175,14.50265963,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-4,AR,S2,S2P3,35.943,58.997,0.588060146,0,1,0,56,13,2.59,1.1887,1.424,0,2.6127,140.3943662,39.3258427,0,0,5.873359935,0.034,1.3,39.05,30.1384,32.43744208,8.99,6.43728454,0.1,1.41,13.9257,10.922625,3.640875,5.28518483,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-5,AR,S2,S2P3,35.943,58.997,0.669933007,0,1.333333333,1,58,13,2.59,1.1492,1.8098,0.0064,2.9654,147.3863636,32.04774008,0.003536302,8,7.271036274,0.032,0.92,40.82,44.3045,31.21636168,9.32,4.83020882,0.06,0.67,10.5085,8.495375,10.922625,3.74893903,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-6,AR,S2,S2P3,35.943,58.997,0.681093198,0,1,4,62,12,2.99,1.1944,1.6774,0.1023,2.9741,147.5,36.96196495,0.060987242,30,5.265907147,NA,1.34,37.92,28.3396,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-7,AR,S2,S2P3,35.943,58.997,13.56326113,0,1,1,36,8,2.86,1.1091,1.1962,0.0033,2.3086,413.0645161,30.09530179,0.002758736,5,6.055057071,NA,1.49,42.93,28.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
S2P3-8,AR,S2,S2P3,35.943,58.997,15.88492214,0,1.333333333,1,60,12,2.8,1.1285,1.7482,0.0052,2.8819,348.1818182,34.3210159,0.002974488,1,5.719524525,NA,1.12,41.13,36.565,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.61250005,12.05833336,46.37820437,508.1657175,28.10000038,2.099999905,26.00000048,21.41666683,9.46666654,22.00000016,9.46666654,997,113,47,29.38421215,312,157,304,157
