sample_id,patho,sapro,symbio,patho_s,sapro_s,symbio_s,centroid_x,centroid_y,area
AH1P3-4,48.666666666666664,29.666666666666668,15.666666666666666,0.334384858044164,0.10256410256410257,0.23793103448275857,0.01339190451593336,4.471125001838832e-4,0.059868163430528046
AH1P3-5,35.166666666666664,22.666666666666668,13.166666666666666,0.20662460567823338,0.0626780626780627,0.1862068965517241,0.004319891702486351,-0.002882242383155318,0.0273217349416922
AH2P1-1,60.833333333333336,38.333333333333336,23.833333333333332,0.44952681388012616,0.1519468186134853,0.40689655172413786,0.008773646420329077,-0.004964996298060086,0.13555103936496454
AH2P1-2,47.666666666666664,31.666666666666668,17.666666666666668,0.3249211356466877,0.11396011396011399,0.27931034482758615,0.007648519433504131,-0.0018871274432275373,0.06911407655374306
AH2P1-3,55.5,34,16.5,0.3990536277602524,0.12725546058879392,0.2551724137931034,0.01949485531333145,0.0036006546864375895,0.08014255970440429
AH2P1-4,74.66666666666667,49.666666666666664,25.666666666666668,0.5804416403785488,0.21652421652421652,0.4448275862068965,0.0190854232305506,0.003140153015632965,0.20792926558706135
AH2P1-5,41.5,34,16.5,0.2665615141955836,0.12725546058879392,0.2551724137931034,0.0016731682988833658,3.4997389335148654e-4,0.0582023788181893
AH2P2-1,74.83333333333333,46.833333333333336,26.333333333333332,0.5820189274447949,0.2003798670465337,0.4586206896551723,0.018167181844581784,-2.201750475727499e-4,0.20587552106032941
AH2P2-2,64.5,40,19.5,0.4842271293375394,0.16144349477682812,0.3172413793103448,0.02271527666527677,0.004734396637888562,0.12254638756705283
AH2P2-3,63.166666666666664,47.666666666666664,23.166666666666668,0.47160883280757093,0.2051282051282051,0.393103448275862,0.010642068231196183,0.0037292940241092703,0.15708312438052363
