origin	site	pop	sample_id	raw_sample_id
CN	JX4	JX4P3	JX4P3-4	JX4P3S4
CN	JX4	JX4P3	JX4P3-5	JX4P3S5
CN	JX5	JX5P1	JX5P1-1	JX5P1S1
CN	JX5	JX5P1	JX5P1-2	JX5P1S2
CN	JX5	JX5P1	JX5P1-3	JX5P1S3
CN	JX5	JX5P1	JX5P1-4	JX5P1S4
CN	JX5	JX5P1	JX5P1-5	JX5P1S5
CN	JX5	JX5P2	JX5P2-1	JX5P2S1
CN	JX5	JX5P2	JX5P2-2	JX5P2S2
CN	JX5	JX5P2	JX5P2-3	JX5P2S3
CN	JX5	JX5P2	JX5P2-4	JX5P2S4
CN	JX5	JX5P2	JX5P2-5	JX5P2S5
CN	JX5	JX5P3	JX5P3-1	JX5P3S1
CN	JX5	JX5P3	JX5P3-2	JX5P3S2
CN	JX5	JX5P3	JX5P3-3	JX5P3S3
CN	JX5	JX5P3	JX5P3-4	JX5P3S4
CN	JX5	JX5P3	JX5P3-5	JX5P3S5
AR	S10	S10P1	S10P1-1	S10P1.1
AR	S10	S10P1	S10P1-2	S10P1.2
AR	S10	S10P1	S10P1-3	S10P1.3
AR	S10	S10P1	S10P1-4	S10P1.4
AR	S10	S10P1	S10P1-5	S10P1.5
AR	S10	S10P2	S10P2-1	S10P2.1
AR	S10	S10P2	S10P2-2	S10P2.2
AR	S10	S10P2	S10P2-3	S10P2.3
AR	S10	S10P2	S10P2-4	S10P2.4
AR	S10	S10P2	S10P2-5	S10P2.5
AR	S10	S10P3	S10P3-1	S10P3.1
AR	S10	S10P3	S10P3-2	S10P3.2
AR	S10	S10P3	S10P3-3	S10P3.3
AR	S10	S10P3	S10P3-4	S10P3.4
AR	S10	S10P3	S10P3-5	S10P3.5
AR	S11	S11P1	S11P1-1	S11P1.1
AR	S11	S11P1	S11P1-2	S11P1.2
AR	S11	S11P1	S11P1-3	S11P1.3
AR	S11	S11P1	S11P1-4	S11P1.4
AR	S11	S11P1	S11P1-5	S11P1.5
