sample_id,richness,shannon,evenness,origin,site,pop,lat,lon,leafherb,stemfeed,leafcurling,branchno,stemlen,node,basic,leafbio,stembio,branchbio,abovebio,SLA,SSL,BI,trichome,saponins,lignin,N,C,CN,soil_water,soil_PH,soil_SOM,soil_C,soil_N,soil_CN,soil_NH,soil_NO,soil_AP,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,cluster
AH2P2-1,179,3.4547138097286485,0.6659835876943646,CN,AH2,AH2P2,31.888,117.478,2.186492257,0,1,1,46.4,12,2.34,1.211,1.3494,0.0117,2.5721,241.2844037,34.38565288,0.00867052,4,5.228997538,0.036,3.63,35.3,9.7223,18.01183927,8.47,7.001461406,0.08,1.24,15.4621,36.40875,14.5635,50.60443591,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P2-2,160,3.302025488736556,0.6506231331082841,CN,AH2,AH2P2,31.888,117.478,2.645769446,0,1.333333333,0,61.4,14,2.77,1.3268,1.6877,0,3.0145,219.7435897,36.38087338,0,1,7.21934382,0.033,3.81,36.65,9.6297,23.02749446,8.45,7.653660446,0.17,1.98,11.6129,20.631625,13.349875,20.26358137,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P2-3,172,2.9987160280180634,0.582558376997893,CN,AH2,AH2P2,31.888,117.478,1.17239108,0,1,0,73,20,2.63,1.3553,2.1095,0,3.4648,214.72,34.60535672,0,46,5.883209143,0.033,3.28,38.7,11.7849,14.66954749,8.51,6.079860879,0.09,1.03,11.132,24.2725,24.2725,31.78542487,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P2-4,155,2.5465836231613803,0.5049313837571062,CN,AH2,AH2P2,31.888,117.478,1.002832134,0,1,2,41.8,11,2.54,1.2353,1.2678,0.0173,2.5204,273.2075472,32.97050008,0.013645685,33,3.647290148,0.034,3.7,37.1,10.0127,17.11218174,8.51,7.022264075,0.09,1.06,12.4585,12.13625,12.13625,9.125799328,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P2-5,97,1.948192418913358,0.4258613119097437,CN,AH2,AH2P2,31.888,117.478,0.584376917,0,1,0,8.4,4,2.35,1.0498,1.0163,0,2.0661,117.7058824,8.265276001,0,3,7.336575838,0.036,3.62,37.62,10.3805,19.12385992,8.39,7.106699099,0.12,1.2,9.9503,24.2725,8.495375,15.65484398,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P3-1,132,3.4602553820424555,0.7086618373840554,CN,AH2,AH2P3,31.888,117.478,6.822050288,0,0.333333333,6,127.6,18,3.33,2.1941,3.5138,0.2461,5.954,224.2369021,36.31396209,0.070038135,27,7.793346271,0.033,3.92,38.84,9.9207,27.37407514,8.07,8.651551313,0.18,2.35,12.9881,20.631625,4.8545,26.40856457,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P3-2,156,2.7865796338216198,0.5518136813844249,CN,AH2,AH2P3,31.888,117.478,6.451572256,0,1,0,27,8,2.85,1.1693,1.1353,0,2.3046,249.9324324,23.7822602,0,15,4.298058618,0.033,3.36,37.15,11.0402,20.72346127,8.25,6.764607679,0.15,1.56,10.6257,14.5635,13.349875,51.75662026,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P3-3,139,2.253435785131631,0.45667194024509355,CN,AH2,AH2P3,31.888,117.478,0.763252101,0,1,0,28.2,8,2.93,1.1927,1.1378,0,2.3305,216.9758065,24.78467217,0,8,7.218301028,0.035,4.88,39.11,8.0122,22.66406568,7.79,7.201416672,0.17,2.09,11.9879,14.5635,3.640875,18.72733557,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P3-4,126,3.2651342721274315,0.6751331570300437,CN,AH2,AH2P3,31.888,117.478,0.782064365,0,1,0,27.5,7,2.82,1.1501,1.1961,0,2.3462,289.4736842,22.99138868,0,24,4.196204082,0.037,3.16,38.34,12.129,15.54943094,8.28,6.589664842,0.08,0.9,10.6384,16.99075,7.28175,16.42296687,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
AH2P3-5,81,3.191346288851759,0.7262221444657132,CN,AH2,AH2P3,31.888,117.478,0.9021019,0,1.666666667,0,32,11,2.03,1.202,1.2843,0,2.4863,237.8723404,24.91629682,0,1,5.74212894,0.035,3.47,40.25,11.6127,12.46666713,8.16,7.141428286,0.13,1.47,10.9579,18.204375,12.13625,12.58235238,15.88749999,9.30833328,26.98067673,930.4449769,33.29999924,-1.200000048,34.49999928,27.03333346,4.166666582,27.03333346,4.166666582,1103,186,27,55.66880908,495,104,495,104,2
