"","Pathotroph","unkown","Saprotroph","Pathotroph-Saprotroph","Pathotroph-Saprotroph-Symbiotroph","Pathotroph-Symbiotroph","Symbiotroph","Saprotroph-Symbiotroph"
"AH1P2-3",52,52,36,26,19,31,5,1
"AH1P2-4",41,43,27,16,14,32,6,3
"AH1P2-5",44,40,24,17,22,24,5,0
"AH1P3-1",45,32,32,18,19,31,4,2
"AH1P3-2",30,23,19,11,12,19,7,1
"AH1P3-3",33,32,24,14,14,21,4,1
"AH1P3-4",29,24,19,14,11,18,3,0
"AH1P3-5",23,20,16,8,8,11,5,0
"AH2P1-1",34,31,25,14,16,29,3,2
"AH2P1-2",28,33,20,13,14,17,4,1
"AH2P1-3",36,22,24,10,15,19,2,0
"AH2P1-4",47,35,32,17,23,23,5,3
"AH2P1-5",25,35,25,10,12,15,5,0
"AH2P2-1",47,31,32,17,16,28,6,2
"AH2P2-2",39,36,26,18,15,23,3,0
"AH2P2-3",37,38,35,16,14,27,5,0
"AH2P2-4",35,33,21,17,15,25,4,5
"AH2P2-5",26,17,20,9,9,12,3,1
"AH2P3-1",37,34,19,10,12,16,4,0
"AH2P3-2",48,28,24,17,16,17,5,1
"AH2P3-3",38,26,23,13,15,18,5,1
"AH2P3-4",25,31,23,8,15,17,4,3
"AH2P3-5",22,19,10,9,9,9,3,0
"AH3P1-1",24,16,14,7,11,10,4,2
"AH3P1-2",19,13,14,11,12,10,6,0
"AH3P1-3",29,17,20,10,9,9,4,0
"AH3P1-4",28,21,26,15,11,15,4,2
"AH3P1-5",21,9,14,6,10,11,3,0
"AH3P2-1",43,32,40,20,17,38,7,3
"AH3P2-2",42,20,24,22,13,22,5,1
"AH3P2-3",22,19,19,6,12,18,3,0
"AH3P2-4",40,23,35,12,17,18,5,1
"AH3P2-5",37,24,36,21,14,18,6,1
"AH3P3-1",36,25,19,17,13,18,7,0
"AH3P3-2",30,24,26,14,17,14,4,1
"AH3P3-3",44,40,46,20,20,37,6,2
"AH3P3-4",35,33,32,12,15,37,3,0
"AH3P3-5",42,37,38,27,16,25,5,1
"SD1P1-1",31,33,25,13,11,11,4,1
"SD1P1-2",36,29,28,12,12,21,4,1
"SD1P1-3",58,48,36,22,25,23,4,1
"SD1P1-4",18,16,17,9,12,7,3,1
"SD1P1-5",26,30,22,23,20,10,3,6
"SD1P2-1",27,28,30,18,22,12,4,2
"SD1P2-2",23,35,19,15,18,10,3,4
"SD1P2-3",20,22,28,8,17,10,4,5
"SD1P2-4",22,31,25,12,20,16,1,1
"SD1P2-5",25,22,18,11,10,8,2,0
"SD1P3-1",16,23,16,12,16,13,3,2
"SD1P3-2",16,14,20,10,16,8,1,2
"SD1P3-3",21,17,19,11,17,15,3,1
"SD1P3-4",14,14,9,9,8,9,2,2
"SD1P3-5",30,24,16,10,19,12,1,2
"SD2P1-1",18,21,16,6,12,8,3,1
"SD2P1-2",20,21,14,16,17,9,5,2
"SD2P1-3",20,15,16,12,16,7,3,2
"SD2P1-4",15,15,10,5,12,7,2,1
"SD2P1-5",20,16,12,8,11,10,3,3
"SD2P2-1",16,18,17,10,14,9,1,3
"SD2P2-2",15,21,14,10,12,5,2,4
"SD2P2-3",22,16,16,10,10,7,3,3
"SD2P2-4",42,38,28,16,34,23,6,1
"SD2P2-5",13,11,7,4,9,6,2,2
"SD2P3-1",15,17,12,8,16,11,1,3
"SD2P3-2",12,11,8,7,11,5,2,1
"SD2P3-3",9,8,6,9,8,4,1,1
"SD2P3-4",15,13,13,9,13,8,1,2
"SD2P3-5",13,11,15,9,10,8,2,1
"SD3P1-1",33,17,11,9,16,9,1,2
"SD3P1-2",30,19,22,17,13,11,4,3
"SD3P1-3",16,19,17,7,11,6,2,2
"SD3P1-4",10,8,8,5,16,4,4,1
"SD3P1-5",15,10,15,5,13,5,3,1
"SD3P2-1",25,21,23,9,28,10,3,2
"SD3P2-2",13,8,10,8,8,5,2,1
"SD3P2-3",13,16,13,12,10,5,2,2
"SD3P2-5",13,23,17,5,16,10,2,1
"SD3P2-6",11,14,19,8,13,7,3,1
"SD3P3-1",25,20,10,11,12,6,3,2
"SD3P3-2",24,13,13,7,12,8,2,3
"SD3P3-3",43,25,19,14,14,9,3,1
"SD3P3-4",42,24,16,13,20,8,4,2
"SD3P3-5",34,22,13,13,21,10,4,1
